TreeID,WinterYear,TotalNuts,TotalWhole,TotalEmpty,TotalPredated
844,1994,20,4,16,0
844,1995,356,208,88,60
844,1996,0,0,0,0
844,1997,56,0,44,12
844,1998,212,0,192,20
844,1999,108,0,72,36
844,2000,264,172,64,28
844,2001,0,0,0,0
844,2002,188,80,92,16
844,2003,52,0,44,8
844,2004,408,212,168,28
844,2005,0,0,0,0
844,2006,100,52,36,12
844,2007,216,56,116,44
844,2008,28,0,24,4
844,2009,64,20,16,28
844,2010,28,0,24,4
844,2011,316,156,124,36
844,2012,132,0,84,48
844,2013,212,60,64,88
844,2014,196,12,136,48
844,2015,40,4,24,12
844,2016,164,80,68,16
844,2017,104,0,84,20
844,2018,452,80,292,80
844,2019,228,0,212,16
844,2020,104,40,48,16
844,2021,84,0,36,48
844,2022,156,16,96,44
844,2023,196,20,124,52
844,2024,68,0,48,20
844,2025,88,0,80,8
845,1979,28,8,16,4
845,1980,0,0,0,0
845,1981,0,0,0,0
845,1984,4,0,4,0
845,1985,0,0,0,0
846,1979,40,32,8,0
846,1980,0,0,0,0
846,1981,0,0,0,0
846,1984,0,0,0,0
846,1985,0,0,0,0
847,1979,8,0,8,0
847,1980,0,0,0,0
847,1981,0,0,0,0
847,1984,24,0,20,4
847,1985,8,0,8,0
848,1979,4,0,4,0
848,1980,0,0,0,0
848,1981,0,0,0,0
848,1984,8,0,8,0
848,1985,8,0,8,0
849,1976,300,120,180,0
849,1977,0,0,0,0
849,1978,0,0,0,0
849,1979,28,4,16,8
849,1980,0,0,0,0
849,1981,0,0,0,0
849,1983,336,100,232,4
849,1984,0,0,0,0
849,1985,0,0,0,0
849,1986,100,56,16,28
849,1987,508,488,0,20
849,1988,0,0,0,0
849,1989,24,12,4,8
849,1990,844,732,96,16
849,1991,4,0,4,0
849,1992,396,320,40,36
849,1993,0,0,0,0
849,1994,24,0,20,4
849,1995,88,36,24,28
849,1996,0,0,0,0
849,1997,0,0,0,0
849,1998,0,0,0,0
849,1999,0,0,0,0
849,2000,580,436,144,0
849,2001,0,0,0,0
849,2002,68,56,12,0
849,2003,0,0,0,0
849,2004,736,560,168,8
849,2005,0,0,0,0
849,2006,184,140,32,12
849,2007,240,36,184,20
849,2008,20,0,20,0
849,2009,84,28,48,8
849,2010,44,4,32,8
849,2011,596,364,104,128
849,2012,268,4,120,144
849,2013,228,12,144,72
849,2014,352,68,216,68
849,2015,28,0,24,4
849,2016,456,376,76,4
849,2017,60,0,52,8
849,2018,248,92,120,36
849,2019,100,0,80,20
849,2020,364,176,112,76
849,2021,36,0,24,12
849,2022,80,12,36,32
849,2023,128,52,64,12
849,2024,104,8,60,36
849,2025,12,0,8,4
850,1976,632,324,308,0
850,1977,16,0,16,0
850,1978,16,0,8,8
850,1979,16,0,16,0
850,1980,0,0,0,0
850,1981,0,0,0,0
850,1984,0,0,0,0
850,1985,4,0,0,4
850,1986,612,432,84,96
850,1987,140,140,0,0
850,1988,0,0,0,0
850,1989,732,136,464,132
850,1990,240,204,32,4
850,1991,16,0,12,4
850,1992,852,564,252,36
850,1993,0,0,0,0
851,1976,296,176,96,24
851,1977,152,0,148,4
851,1978,0,0,0,0
852,1976,584,312,272,0
852,1977,8,4,4,0
852,1978,0,0,0,0
852,1979,96,4,84,8
852,1980,0,0,0,0
852,1981,0,0,0,0
852,1983,1048,344,704,0
852,1984,4,0,4,0
852,1985,0,0,0,0
852,1986,188,80,68,40
852,1987,428,420,0,8
852,1988,0,0,0,0
852,1990,884,476,372,36
852,1991,0,0,0,0
852,1992,464,296,152,16
852,1993,72,4,52,16
852,1994,20,0,16,4
852,1995,160,12,132,16
852,1996,0,0,0,0
852,1997,0,0,0,0
852,1998,72,0,60,12
852,1999,0,0,0,0
852,2000,364,244,120,0
852,2001,0,0,0,0
852,2002,176,64,108,4
852,2003,0,0,0,0
852,2004,1020,672,336,12
852,2005,0,0,0,0
852,2006,12,0,12,0
852,2007,260,120,124,16
852,2009,8,8,0,0
852,2010,28,4,24,0
852,2011,120,40,56,24
852,2012,44,0,32,12
852,2014,160,48,108,4
852,2015,224,0,204,20
852,2016,576,336,228,12
852,2017,72,0,52,20
852,2018,208,24,172,12
853,1976,388,244,136,8
853,1977,4,0,4,0
853,1978,8,0,4,4
853,1979,52,4,32,16
853,1980,0,0,0,0
853,1981,0,0,0,0
853,1983,216,148,68,0
853,1984,40,0,16,24
853,1985,0,0,0,0
853,1986,120,20,20,80
853,1987,628,616,0,12
853,1988,0,0,0,0
853,1989,24,4,4,16
853,1990,1820,1348,388,84
853,1991,0,0,0,0
853,1992,360,252,80,28
853,1993,20,0,12,8
853,1994,20,0,16,4
853,1995,796,376,276,144
853,1996,0,0,0,0
853,1997,12,0,8,4
853,1998,84,0,68,16
853,1999,48,0,40,8
853,2000,640,428,208,4
853,2001,0,0,0,0
853,2002,428,300,124,4
853,2003,4,0,4,0
853,2004,500,372,124,4
853,2005,0,0,0,0
853,2006,292,100,140,52
853,2007,192,16,156,20
853,2008,36,0,32,4
853,2009,544,192,260,92
853,2010,36,0,28,8
853,2011,1640,952,400,288
853,2012,500,0,252,248
853,2013,832,340,248,244
853,2014,1216,328,588,300
853,2015,196,4,100,92
853,2016,1960,1292,508,160
853,2017,320,0,236,84
853,2018,1092,232,668,192
853,2019,368,0,240,128
853,2020,500,120,196,184
853,2021,352,0,96,256
853,2022,632,84,352,196
853,2023,432,52,256,124
853,2024,248,32,136,80
853,2025,84,0,32,52
854,1979,228,72,136,20
854,1980,0,0,0,0
854,1981,0,0,0,0
854,1983,1048,448,600,0
854,1984,20,0,4,16
854,1985,52,0,36,16
854,1986,792,548,128,116
854,1987,908,888,0,20
854,1988,0,0,0,0
854,1989,220,92,60,68
854,1990,1088,764,296,28
854,1991,60,0,60,0
854,1992,860,636,188,36
854,1993,8,0,4,4
854,1994,188,8,160,20
854,1995,528,228,224,76
854,1996,0,0,0,0
854,1997,128,0,116,12
854,1998,280,12,232,36
854,1999,204,4,184,16
854,2000,1464,1096,356,12
854,2001,0,0,0,0
854,2002,288,184,100,4
854,2003,20,0,20,0
854,2004,1328,976,352,0
854,2005,0,0,0,0
854,2006,0,0,0,0
854,2007,456,256,176,24
854,2009,120,72,44,4
854,2010,20,0,12,8
854,2011,1276,824,380,72
854,2012,312,0,200,112
854,2013,380,40,240,100
854,2014,576,140,372,64
854,2015,148,20,100,28
854,2016,436,256,148,32
854,2017,84,0,72,12
854,2018,736,344,348,44
854,2019,192,0,176,16
854,2020,248,168,56,24
854,2021,244,4,172,68
854,2022,512,216,224,72
854,2023,288,68,124,96
854,2024,384,148,160,76
854,2025,52,0,44,8
855,1980,0,0,0,0
855,1981,0,0,0,0
855,1991,12,0,8,4
855,2010,20,0,12,8
856,1979,108,36,64,8
856,1980,4,4,0,0
856,1981,0,0,0,0
856,1984,4,0,4,0
856,1985,0,0,0,0
858,1979,4,4,0,0
858,1980,0,0,0,0
858,1981,0,0,0,0
858,1984,0,0,0,0
858,1985,0,0,0,0
859,1979,20,8,8,4
859,1980,0,0,0,0
859,1981,0,0,0,0
859,1984,0,0,0,0
859,1985,24,0,0,24
860,1979,68,16,32,20
860,1980,0,0,0,0
860,1981,0,0,0,0
860,1984,0,0,0,0
860,1985,0,0,0,0
861,1979,28,4,24,0
861,1980,0,0,0,0
861,1981,0,0,0,0
861,1985,0,0,0,0
862,1983,460,244,216,0
863,1983,392,244,148,0
864,1983,472,116,352,4
865,1983,520,244,276,0
866,1983,364,52,312,0
867,1983,672,388,280,4
868,1983,764,280,484,0
869,1983,584,372,208,4
870,1983,420,164,256,0
871,1979,8,8,0,0
871,1980,0,0,0,0
871,1981,0,0,0,0
871,1984,76,36,16,24
871,1985,0,0,0,0
871,1986,752,488,52,212
871,1987,1448,1416,0,32
871,1988,0,0,0,0
871,1989,180,28,60,92
871,1990,1780,1528,220,32
871,1991,16,0,16,0
871,1992,1180,828,280,72
871,1993,44,8,16,20
871,1994,336,16,296,24
871,1995,528,332,108,88
871,1996,0,0,0,0
871,1997,212,4,176,32
871,1998,172,0,144,28
871,1999,140,0,108,32
871,2000,1252,956,284,12
871,2001,0,0,0,0
871,2002,504,368,128,8
871,2003,8,0,8,0
871,2004,1648,1212,408,28
871,2005,0,0,0,0
871,2006,804,576,180,48
871,2007,144,36,76,32
871,2008,0,0,0,0
871,2009,400,184,184,32
871,2010,0,0,0,0
871,2011,1240,920,220,100
871,2012,320,0,212,108
871,2013,236,24,120,92
871,2014,828,328,364,136
871,2015,48,0,44,4
871,2016,1068,860,176,32
871,2017,92,0,72,20
871,2018,1284,60,1120,104
871,2019,532,0,472,60
871,2020,164,52,72,40
871,2021,64,0,52,12
871,2022,216,116,76,24
871,2023,140,12,72,56
871,2024,248,92,100,56
871,2025,28,0,16,12
872,1989,172,0,104,68
873,1983,864,408,452,4
873,1985,0,0,0,0
873,1986,0,0,0,0
875,1976,12,4,8,0
875,1977,0,0,0,0
875,1978,100,0,84,16
875,1979,420,16,360,44
875,1980,0,0,0,0
875,1981,0,0,0,0
875,1983,596,364,228,4
875,1984,116,0,68,48
875,1985,0,0,0,0
875,1986,856,312,468,76
875,1987,64,52,0,12
875,1988,0,0,0,0
875,1989,1228,0,1228,0
875,1990,28,0,28,0
875,1991,60,0,60,0
875,1992,164,28,120,16
875,1993,1060,120,864,76
875,1994,0,0,0,0
875,1995,1036,0,1036,0
875,1996,0,0,0,0
875,1997,0,0,0,0
875,1998,264,0,252,12
875,1999,176,0,172,4
875,2000,1016,232,780,4
875,2001,0,0,0,0
875,2002,468,64,404,0
875,2003,0,0,0,0
875,2004,544,140,396,8
875,2005,0,0,0,0
875,2006,680,196,416,68
875,2007,116,20,64,32
875,2008,32,0,32,0
875,2009,392,176,188,28
875,2010,0,0,0,0
875,2011,1100,780,216,104
875,2012,112,0,52,60
875,2013,108,28,16,64
875,2014,892,576,216,100
875,2015,40,0,12,28
875,2016,108,88,20,0
875,2017,12,0,8,4
875,2018,608,8,548,52
875,2019,132,0,116,16
875,2020,36,4,28,4
875,2021,92,0,80,12
875,2022,12,0,12,0
875,2023,188,64,108,16
875,2024,40,0,4,36
875,2025,4,0,0,4
876,1976,244,52,184,8
876,1977,4,0,4,0
876,1978,0,0,0,0
876,1979,188,8,128,52
876,1980,0,0,0,0
876,1981,0,0,0,0
876,1984,0,0,0,0
876,1985,0,0,0,0
876,1986,304,48,196,60
876,1987,220,176,0,44
876,1988,0,0,0,0
876,1989,276,32,180,64
876,1990,952,620,296,36
876,1991,28,0,28,0
876,1992,576,196,320,60
876,1993,112,4,88,20
876,1994,16,0,16,0
876,1995,1168,0,1152,16
876,1996,0,0,0,0
876,1997,0,0,0,0
876,1998,88,4,80,4
876,1999,52,0,48,4
876,2000,460,188,260,12
876,2001,0,0,0,0
876,2002,464,204,260,0
876,2003,16,0,16,0
876,2004,580,376,184,20
876,2005,0,0,0,0
876,2006,504,80,388,36
876,2007,100,0,92,8
876,2009,24,4,20,0
876,2010,0,0,0,0
876,2011,652,192,392,68
876,2012,332,0,232,100
876,2013,224,4,136,84
876,2014,400,56,268,76
876,2015,96,4,76,16
876,2016,1132,408,676,48
876,2017,104,0,88,16
876,2018,412,0,344,68
876,2019,160,0,104,56
876,2020,196,0,120,76
876,2021,144,0,60,84
876,2022,16,0,16,0
876,2023,108,0,60,48
876,2024,12,0,4,8
876,2025,0,0,0,0
877,1976,52,0,52,0
877,1977,0,0,0,0
877,1978,0,0,0,0
877,1979,152,4,112,36
877,1980,0,0,0,0
877,1981,0,0,0,0
877,1984,40,0,8,32
877,1985,88,0,48,40
877,1986,668,104,392,172
877,1987,256,236,0,20
877,1988,0,0,0,0
877,1989,424,4,388,32
877,1990,504,36,424,44
877,1991,16,0,16,0
877,1992,604,108,428,68
877,1993,16,0,8,8
877,1994,96,0,88,8
877,1995,1244,0,1224,20
877,1996,0,0,0,0
877,1997,96,0,80,16
877,1998,16,0,12,4
877,1999,292,0,260,32
877,2000,180,24,124,32
877,2001,0,0,0,0
877,2002,560,136,416,8
877,2003,8,0,8,0
877,2004,584,128,432,24
877,2005,0,0,0,0
877,2006,732,180,440,112
877,2007,92,8,56,28
877,2008,4,0,0,4
877,2009,104,20,64,20
877,2010,24,0,0,24
877,2011,244,104,100,40
877,2012,252,0,112,140
877,2013,1296,232,848,216
877,2014,1084,44,716,324
877,2015,144,0,108,36
877,2016,704,152,480,72
877,2017,372,0,336,36
877,2018,980,0,940,40
877,2019,404,0,380,24
877,2020,540,0,400,140
877,2021,320,0,264,56
877,2022,148,0,128,20
877,2023,456,20,316,120
877,2024,612,52,412,148
877,2025,132,0,80,52
878,1976,100,0,100,0
878,1977,0,0,0,0
878,1978,0,0,0,0
878,1979,36,0,36,0
878,1980,0,0,0,0
878,1981,0,0,0,0
878,1984,88,0,84,4
878,1985,0,0,0,0
879,1976,1196,692,500,4
879,1977,0,0,0,0
879,1978,0,0,0,0
879,1979,48,4,24,20
879,1980,0,0,0,0
879,1981,0,0,0,0
879,1983,1928,744,1176,8
879,1984,0,0,0,0
879,1985,0,0,0,0
879,1986,8,0,4,4
879,1987,1180,1176,0,4
879,1988,0,0,0,0
879,1990,2068,992,1028,48
879,1991,8,0,8,0
879,1992,268,128,88,52
879,1993,124,20,68,36
879,1994,0,0,0,0
879,1995,548,140,372,36
879,1996,0,0,0,0
879,1997,0,0,0,0
879,1998,4,0,4,0
879,1999,0,0,0,0
879,2000,692,312,380,0
879,2001,0,0,0,0
879,2002,0,0,0,0
879,2003,8,0,8,0
879,2004,1468,612,848,8
879,2005,0,0,0,0
879,2006,32,0,24,8
880,1976,1560,1248,288,24
880,1977,4,0,4,0
880,1978,0,0,0,0
880,1979,208,68,136,4
880,1980,0,0,0,0
880,1981,0,0,0,0
880,1983,800,520,264,16
880,1984,8,4,4,0
880,1985,24,0,20,4
880,1986,424,216,152,56
880,1987,592,576,0,16
880,1988,0,0,0,0
880,1989,44,0,32,12
880,1990,1468,1152,160,156
880,1991,0,0,0,0
880,1992,808,452,304,52
880,1993,36,8,16,12
880,1994,64,0,32,32
880,1995,1148,984,100,64
880,1996,0,0,0,0
880,1997,0,0,0,0
880,1998,20,0,20,0
880,1999,0,0,0,0
880,2000,640,584,40,16
880,2001,0,0,0,0
880,2002,300,208,92,0
880,2003,0,0,0,0
880,2004,1072,860,204,8
880,2005,0,0,0,0
880,2006,332,168,112,52
880,2009,20,12,4,4
880,2010,0,0,0,0
880,2011,832,592,176,64
880,2012,96,0,68,28
880,2013,248,104,116,28
880,2014,896,436,316,144
880,2015,148,0,116,32
880,2016,608,504,88,16
880,2017,48,0,40,8
880,2018,892,488,304,100
880,2019,144,0,96,48
880,2020,336,124,160,52
880,2021,228,0,164,64
880,2022,632,92,432,108
880,2023,584,72,372,140
880,2024,344,80,152,112
880,2025,12,0,8,4
881,1983,700,452,228,20
882,1979,116,48,64,4
882,1980,0,0,0,0
882,1981,0,0,0,0
882,1984,0,0,0,0
882,1985,0,0,0,0
883,1983,440,216,216,8
884,1976,528,376,144,8
884,1977,4,0,4,0
884,1978,8,0,8,0
884,1979,28,16,4,8
884,1980,0,0,0,0
884,1981,0,0,0,0
884,1983,1024,480,544,0
884,1984,0,0,0,0
884,1985,0,0,0,0
884,1986,168,80,72,16
884,1987,380,368,0,12
884,1988,0,0,0,0
884,1989,48,0,16,32
884,1990,1324,880,368,76
884,1991,0,0,0,0
884,1992,564,312,220,32
884,1993,64,4,48,12
884,1994,68,0,44,24
884,1995,812,580,156,76
884,1996,0,0,0,0
884,1997,0,0,0,0
884,1998,36,4,20,12
884,1999,20,0,20,0
884,2000,408,328,80,0
884,2001,0,0,0,0
884,2002,376,144,228,4
884,2003,0,0,0,0
884,2004,708,536,168,4
884,2005,0,0,0,0
884,2006,120,48,56,16
884,2007,152,24,112,16
884,2008,4,0,4,0
884,2009,52,20,12,20
884,2010,0,0,0,0
884,2011,340,156,116,68
884,2012,188,0,104,84
884,2013,204,48,96,60
884,2014,456,148,232,76
884,2015,84,0,80,4
884,2016,380,252,68,60
884,2017,124,0,96,28
884,2018,492,160,240,92
884,2019,28,0,20,8
884,2020,88,4,40,44
884,2021,60,0,56,4
884,2022,220,60,132,28
884,2023,48,0,36,12
884,2024,132,60,56,16
884,2025,8,0,0,8
885,1983,656,288,360,8
886,1979,48,36,8,4
886,1980,0,0,0,0
886,1981,0,0,0,0
886,1984,72,0,72,0
886,1985,0,0,0,0
886,1992,480,252,176,52
886,1995,528,280,200,48
886,1996,0,0,0,0
886,1997,0,0,0,0
886,1999,36,0,36,0
886,2000,476,316,156,4
886,2001,0,0,0,0
886,2002,148,32,116,0
886,2003,8,0,8,0
886,2004,1168,600,548,20
886,2005,0,0,0,0
886,2006,168,52,88,28
886,2008,28,0,28,0
886,2009,108,40,52,16
886,2010,68,0,28,40
886,2011,656,408,176,72
886,2012,128,0,104,24
886,2013,288,20,160,108
886,2014,988,300,540,148
886,2015,76,0,52,24
886,2016,564,428,92,44
886,2017,56,0,48,8
886,2018,576,312,192,72
886,2019,124,0,80,44
886,2020,112,20,52,40
886,2021,136,0,104,32
886,2022,348,72,212,64
886,2023,156,4,92,60
886,2024,668,136,444,88
886,2025,0,0,0,0
887,1976,284,164,120,0
887,1977,0,0,0,0
887,1978,0,0,0,0
887,1979,0,0,0,0
887,1980,0,0,0,0
887,1981,0,0,0,0
887,1983,484,160,324,0
887,1984,16,0,16,0
887,1985,0,0,0,0
887,1986,172,112,40,20
887,1987,284,284,0,0
887,1988,0,0,0,0
887,1989,8,0,8,0
887,1990,724,588,108,28
887,1991,0,0,0,0
887,1992,500,400,48,52
887,1993,4,0,4,0
887,1994,0,0,0,0
887,1995,88,60,24,4
887,1996,0,0,0,0
887,1997,0,0,0,0
887,1998,44,0,40,4
887,1999,44,0,40,4
887,2000,196,172,24,0
887,2001,0,0,0,0
887,2002,40,20,20,0
887,2003,0,0,0,0
887,2004,152,120,32,0
887,2005,0,0,0,0
887,2006,12,8,4,0
887,2007,308,48,228,32
887,2008,20,0,16,4
887,2009,84,28,52,4
887,2010,12,0,12,0
887,2011,528,348,156,24
887,2012,48,0,36,12
887,2013,80,4,68,8
887,2014,396,112,252,32
887,2015,36,0,20,16
887,2016,352,244,72,36
887,2017,20,0,16,4
887,2018,260,36,212,12
887,2019,20,0,16,4
887,2020,56,4,44,8
887,2021,44,0,40,4
887,2022,224,32,172,20
887,2023,8,0,8,0
887,2024,128,48,64,16
887,2025,0,0,0,0
888,1976,132,64,68,0
888,1977,0,0,0,0
888,1978,0,0,0,0
888,1979,24,4,20,0
888,1980,0,0,0,0
888,1981,0,0,0,0
888,1983,336,168,160,8
888,1984,0,0,0,0
888,1985,0,0,0,0
888,1986,28,4,24,0
888,1987,368,360,0,8
888,1988,0,0,0,0
888,1990,1212,960,196,56
888,1991,0,0,0,0
888,1992,56,24,4,28
888,1993,52,12,20,20
888,1994,0,0,0,0
888,1995,80,40,20,20
888,1996,0,0,0,0
889,1979,4,0,4,0
889,1980,0,0,0,0
889,1981,0,0,0,0
889,1983,436,260,176,0
889,1984,36,4,16,16
889,1985,0,0,0,0
890,1979,0,0,0,0
890,1980,0,0,0,0
890,1981,0,0,0,0
890,1983,672,324,340,8
890,1984,0,0,0,0
890,1985,0,0,0,0
891,1976,88,64,24,0
891,1977,20,0,20,0
891,1978,0,0,0,0
891,1979,4,0,4,0
891,1980,0,0,0,0
891,1981,0,0,0,0
891,1983,916,592,320,4
891,1984,0,0,0,0
891,1985,0,0,0,0
891,1986,12,0,8,4
891,1987,432,416,0,16
891,1988,0,0,0,0
891,1990,908,680,124,104
891,1991,0,0,0,0
891,1992,24,8,12,4
891,1993,0,0,0,0
891,1994,0,0,0,0
891,1995,60,48,4,8
891,1996,0,0,0,0
891,1997,0,0,0,0
891,1998,0,0,0,0
891,1999,32,0,28,4
891,2000,0,0,0,0
891,2001,0,0,0,0
891,2002,20,0,20,0
891,2003,0,0,0,0
891,2004,204,168,20,16
891,2005,0,0,0,0
891,2006,0,0,0,0
891,2007,32,16,12,4
891,2009,4,0,4,0
891,2010,0,0,0,0
891,2011,36,32,4,0
891,2012,56,0,24,32
891,2013,36,0,32,4
891,2014,120,52,60,8
891,2015,16,0,12,4
891,2016,16,8,4,4
891,2017,4,0,4,0
891,2018,116,40,44,32
891,2019,20,0,16,4
891,2020,32,0,12,20
891,2021,8,0,4,4
891,2022,16,0,4,12
891,2023,60,20,32,8
891,2024,28,8,8,12
891,2025,0,0,0,0
892,1976,140,36,104,0
892,1977,0,0,0,0
892,1978,0,0,0,0
892,1979,0,0,0,0
892,1980,0,0,0,0
892,1981,0,0,0,0
892,1984,0,0,0,0
892,1985,24,0,20,4
893,1976,536,72,464,0
893,1977,0,0,0,0
893,1978,0,0,0,0
893,1979,112,16,88,8
893,1980,0,0,0,0
893,1981,0,0,0,0
893,1984,0,0,0,0
893,1985,72,0,36,36
894,1976,80,32,48,0
894,1977,4,0,4,0
894,1978,0,0,0,0
894,1979,96,20,72,4
894,1980,0,0,0,0
894,1981,0,0,0,0
894,1983,960,656,304,0
894,1984,0,0,0,0
894,1985,0,0,0,0
894,1986,36,8,24,4
894,1987,788,788,0,0
894,1988,0,0,0,0
894,1990,912,728,160,24
894,1991,0,0,0,0
894,1992,524,320,168,36
894,1993,84,0,32,52
894,1994,0,0,0,0
894,1995,408,252,92,64
894,1996,0,0,0,0
894,1997,4,0,4,0
894,1998,8,0,4,4
894,1999,8,0,8,0
894,2000,476,348,104,24
894,2001,0,0,0,0
894,2002,0,0,0,0
894,2003,0,0,0,0
895,1976,512,360,148,4
895,1977,20,0,20,0
895,1978,0,0,0,0
895,1979,20,4,16,0
895,1980,0,0,0,0
895,1981,0,0,0,0
895,1983,636,488,144,4
895,1984,0,0,0,0
895,1985,0,0,0,0
895,1986,28,8,4,16
895,1987,652,640,0,12
895,1988,0,0,0,0
895,1990,1200,1108,84,8
895,1991,8,0,8,0
895,1992,428,228,168,32
895,1993,4,0,4,0
895,1994,0,0,0,0
895,1995,132,64,48,20
895,1996,0,0,0,0
895,1997,4,0,0,4
895,1998,8,0,8,0
895,1999,4,0,4,0
895,2000,164,100,64,0
895,2001,0,0,0,0
895,2002,0,0,0,0
895,2003,0,0,0,0
896,1976,20,0,20,0
896,1977,84,0,84,0
896,1978,0,0,0,0
896,1979,0,0,0,0
896,1980,0,0,0,0
896,1981,0,0,0,0
896,1983,292,128,164,0
896,1984,0,0,0,0
896,1985,0,0,0,0
896,1986,0,0,0,0
896,1987,212,212,0,0
896,1988,0,0,0,0
896,1990,104,92,4,8
896,1991,20,0,20,0
896,1992,224,132,80,12
896,1993,0,0,0,0
896,1994,0,0,0,0
896,1995,12,4,8,0
896,1996,0,0,0,0
896,1997,0,0,0,0
896,1998,0,0,0,0
896,1999,0,0,0,0
896,2002,0,0,0,0
896,2003,0,0,0,0
897,1976,28,20,8,0
897,1977,0,0,0,0
897,1978,0,0,0,0
897,1979,0,0,0,0
897,1980,0,0,0,0
897,1981,0,0,0,0
897,1983,192,64,128,0
897,1984,0,0,0,0
897,1985,0,0,0,0
897,1986,0,0,0,0
897,1987,112,112,0,0
897,1988,0,0,0,0
897,1990,428,156,56,216
897,1991,0,0,0,0
897,1992,88,36,32,20
897,1993,0,0,0,0
897,1994,4,0,4,0
897,1995,84,20,32,32
897,1996,0,0,0,0
897,1997,0,0,0,0
897,1998,0,0,0,0
897,1999,0,0,0,0
897,2000,44,28,12,4
897,2001,0,0,0,0
897,2002,0,0,0,0
897,2003,0,0,0,0
897,2008,12,0,12,0
898,1976,204,112,72,20
898,1977,8,0,8,0
898,1978,0,0,0,0
898,1979,136,4,100,32
898,1980,0,0,0,0
898,1981,0,0,0,0
898,1983,836,244,568,24
898,1984,0,0,0,0
898,1985,0,0,0,0
898,1986,4,0,0,4
898,1987,500,468,0,32
898,1988,0,0,0,0
898,1990,1732,664,852,216
898,1991,0,0,0,0
898,1992,68,32,24,12
898,1993,0,0,0,0
898,1994,0,0,0,0
898,1995,280,68,164,48
898,1996,0,0,0,0
898,1997,0,0,0,0
898,1998,0,0,0,0
898,1999,0,0,0,0
898,2000,176,76,84,16
898,2001,0,0,0,0
898,2002,44,28,16,0
898,2003,0,0,0,0
898,2004,164,92,56,16
898,2005,0,0,0,0
898,2006,32,4,20,8
898,2007,64,0,60,4
899,1979,40,4,36,0
899,1980,0,0,0,0
899,1981,0,0,0,0
899,1984,0,0,0,0
899,1985,0,0,0,0
899,2008,4,0,4,0
899,2009,0,0,0,0
899,2010,0,0,0,0
899,2011,12,0,12,0
899,2012,24,0,20,4
899,2013,4,0,4,0
899,2014,40,0,36,4
899,2015,0,0,0,0
899,2016,12,0,12,0
899,2017,8,0,8,0
899,2018,0,0,0,0
